EvaluationScore,Dialogue
1,내가 만드는 것이 더 낫겠다냥..
1,게임이 아니라 버그 사료 아니냥
1,개발자가 나한테 원한 있냥?
2,5분 했는데 영혼 빠져나갔다냥
2,재미 찾다가 길 잃었다냥
2,벽 긁는 게 더 재밌다냥
3,만들다 말고 도망친 느낌이다냥
3,구현은 어디 갔냥?
3,하다가 하품만 7번 했다냥
4,음… 굳이 해야 되냥?
4,조금 개선하면 살 수는 있겠다냥
4,버그 찾는 재미는 있다냥
5,시간 때우기용 사료 느낌이다냥
5,또 하라면 도망간다냥
5,기억에 남는 게 하나도 없다냥
6,생각보다 괜찮아서 당황했다냥
6,가끔 재밌게 할 거 같다냥
6,구리지만 끌리는 맛이 있다냥
7,이거 좀 재밌다냥
7,나 지금 계속 하고 있다냥
7,회사가 일하기 시작했다냥
8,위험.. 계속 누르게 된다냥
8,이거 돈 냄새 난다냥
8,오늘 밤새 했다냥
9,진짜 잘 만들었다냥
9,휴.. 과금할 뻔했다냥
9,점점 빠져든다냥
10,하루 종일 하고 싶다냥
10,완전 시간 도둑이다냥
10,이런 게임을 기다려 왔다냥
