GenreId,ContentId,SynergyType
300,400,Good
300,401,Good
300,402,Bad
300,403,Bad
301,404,Good
301,405,Good
301,406,Bad
301,407,Bad
302,406,Good
302,407,Good
302,408,Bad
302,409,Bad
303,410,Good
303,411,Good
303,400,Bad
303,401,Bad
304,404,Good
304,412,Good
304,413,Bad
304,409,Bad
305,414,Good
305,406,Good
305,410,Bad
305,401,Bad
306,401,Good
306,410,Good
306,414,Bad
306,415,Bad
307,413,Good
307,416,Good
307,402,Bad
307,412,Bad
308,402,Good
308,415,Good
308,400,Bad
308,418,Bad
309,417,Good
309,418,Good
309,401,Bad
309,407,Bad
310,419,Good
310,401,Good
310,414,Bad
310,404,Bad
311,406,Good
311,419,Good
311,403,Bad
311,408,Bad
312,404,Good
312,407,Good
312,409,Bad
312,401,Bad
313,411,Good
313,410,Good
313,409,Bad
313,406,Bad
314,412,Good
314,404,Good
314,406,Bad
314,400,Bad
